layer,channel,ablation_delta,log_alpha
conv_layers.5,0,0.010197462514042854,2.0199403762817383
conv_layers.5,1,0.011910547502338886,2.0621492862701416
conv_layers.5,2,0.004594852216541767,2.061880111694336
conv_layers.5,5,0.011791126802563667,2.0825581550598145
conv_layers.5,10,0.0199052132666111,2.0759501457214355
conv_layers.5,19,0.00801347941160202,2.0922389030456543
conv_layers.5,31,0.02271386608481407,2.068140745162964
conv_layers.5,38,0.012730480171740055,2.074425220489502
conv_layers.5,41,0.010982610285282135,2.0468358993530273
conv_layers.5,44,0.009467903524637222,2.086195468902588
conv_layers.5,51,0.001092943362891674,2.0713632106781006
conv_layers.5,73,-0.0035735853016376495,2.0601072311401367
conv_layers.5,83,0.016314085572957993,2.036470413208008
conv_layers.5,88,0.002753091510385275,2.0384533405303955
conv_layers.5,99,0.012292252853512764,2.0476064682006836
conv_layers.5,117,0.0028811227530241013,2.0882623195648193
conv_layers.5,118,-0.00915246270596981,2.0528528690338135
conv_layers.5,119,0.004079113714396954,2.0607428550720215
conv_layers.5,120,-0.005404183641076088,2.0587406158447266
conv_layers.5,123,-0.0026411237195134163,2.0703670978546143
conv_layers.5,124,-0.0009852247312664986,2.0720503330230713
conv_layers.5,125,-0.0009847776964306831,2.0512635707855225
conv_layers.5,126,0.008172130212187767,2.0860838890075684
conv_layers.5,133,0.004400121048092842,2.085951089859009
conv_layers.5,139,-0.00089288130402565,2.082165002822876
conv_layers.5,144,0.002341565676033497,2.0714828968048096
conv_layers.5,147,0.008882627822458744,2.070836067199707
conv_layers.5,151,-0.0006899712607264519,2.043363332748413
conv_layers.5,154,0.010990719310939312,2.0660951137542725
conv_layers.5,156,-0.004308830015361309,2.055640459060669
conv_layers.5,163,0.012918941676616669,2.0638294219970703
conv_layers.5,165,0.00923780258744955,2.073347806930542
conv_layers.5,166,0.011229360476136208,2.0586230754852295
conv_layers.5,167,-0.0005755992606282234,2.0638184547424316
conv_layers.5,170,0.015441630966961384,2.07907772064209
conv_layers.5,172,0.010631196200847626,2.0730931758880615
conv_layers.5,177,0.004043830558657646,2.071424961090088
conv_layers.5,182,0.013390133157372475,2.0408835411071777
conv_layers.5,185,0.01215379685163498,2.061082124710083
conv_layers.5,186,0.0029543088749051094,2.0735185146331787
conv_layers.5,190,0.016747942194342613,2.0412843227386475
conv_layers.5,193,0.0038155848160386086,2.059141159057617
conv_layers.5,196,0.0048210956156253815,2.0759427547454834
conv_layers.5,198,0.015597126446664333,2.0770716667175293
conv_layers.5,199,0.013293704017996788,2.041884183883667
conv_layers.5,205,0.0064846668392419815,2.0494468212127686
conv_layers.5,206,0.010814310051500797,2.0475001335144043
conv_layers.5,210,-0.003523203544318676,2.052366256713867
conv_layers.5,211,0.0012217778712511063,2.0700340270996094
conv_layers.5,213,0.007358027622103691,2.0448925495147705
conv_layers.5,214,0.014747713692486286,2.006401777267456
conv_layers.5,217,0.006335310637950897,2.0604865550994873
conv_layers.5,219,0.020377468317747116,2.0753469467163086
conv_layers.5,224,0.010694609023630619,2.0487756729125977
conv_layers.5,227,0.0025368137285113335,2.0504212379455566
conv_layers.5,228,0.011883607134222984,2.0670459270477295
conv_layers.5,234,0.0032400195486843586,2.060232400894165
conv_layers.5,237,-0.001161837950348854,2.066594123840332
conv_layers.5,239,0.002604934386909008,2.0703747272491455
conv_layers.5,241,0.001959778368473053,2.086256980895996
conv_layers.5,243,0.008824754506349564,2.065546751022339
conv_layers.5,244,0.02248835749924183,2.0867927074432373
conv_layers.5,247,-0.008272001519799232,2.069930076599121
conv_layers.5,254,0.000732659362256527,2.0632903575897217
conv_layers.6,2,0.0069640809670090675,2.025646209716797
conv_layers.6,11,0.0009643547236919403,2.079446792602539
conv_layers.6,16,0.004618154838681221,2.0671679973602295
conv_layers.6,19,0.004207877442240715,2.0983428955078125
conv_layers.6,21,0.006751935929059982,2.0708436965942383
conv_layers.6,23,0.0015889015048742294,2.086345672607422
conv_layers.6,24,0.00377784576267004,2.076936960220337
conv_layers.6,32,0.0037136515602469444,2.0782485008239746
conv_layers.6,35,-0.0020669721998274326,2.0768802165985107
conv_layers.6,37,0.00376955047249794,2.0883853435516357
conv_layers.6,38,0.0008751396089792252,2.0789530277252197
conv_layers.6,53,0.00699914526194334,2.0795326232910156
conv_layers.6,54,0.005423880182206631,2.089515447616577
conv_layers.6,58,0.002452995628118515,2.082096815109253
