layer,channel,ablation_delta,log_alpha
stage1.1.conv1,17,-0.0054552494548261166,1.9946671724319458
stage1.1.conv1,18,0.010046424344182014,1.9443730115890503
stage1.1.conv1,19,-0.005556282587349415,1.929815411567688
stage1.1.conv1,20,-0.0011969681363552809,1.9541281461715698
stage1.1.conv1,21,-0.010827240534126759,1.9493951797485352
stage1.1.conv1,22,-1.0574887710390612e-05,2.0224316120147705
stage1.1.conv1,23,-0.007835636846721172,2.0366294384002686
stage1.1.conv1,24,-0.013097896240651608,1.978884220123291
stage1.1.conv1,25,0.000813931692391634,2.0136220455169678
stage1.1.conv1,26,-0.013006393797695637,2.0012121200561523
stage1.1.conv1,27,-0.012618334963917732,2.042508602142334
stage1.1.conv1,28,-0.010128187946975231,2.0283241271972656
stage1.1.conv1,29,-0.012409815564751625,1.9328148365020752
stage1.1.conv1,30,-0.006976258009672165,2.0068278312683105
stage1.1.conv1,31,-0.01076547522097826,2.0574026107788086
stage1.1.conv1,32,-0.0010444712825119495,1.984535813331604
stage1.1.conv1,33,-0.0009778959210962057,1.9567325115203857
stage1.1.conv1,34,0.004108781460672617,1.9965131282806396
stage1.1.conv1,35,-0.00613272562623024,1.9789878129959106
stage1.1.conv1,36,0.0007950964500196278,2.013928174972534
stage1.1.conv1,37,0.004112245049327612,2.030651569366455
stage1.1.conv1,38,-0.011745033785700798,1.9420286417007446
stage1.1.conv1,39,0.0037840586155653,2.0162770748138428
stage1.1.conv1,40,-0.011573808267712593,1.9686611890792847
stage1.1.conv1,41,0.005697363521903753,2.0152907371520996
stage1.1.conv1,42,-0.01318198349326849,2.0110294818878174
stage1.1.conv1,43,-0.009796764701604843,2.031095266342163
stage1.1.conv1,44,-0.007803966291248798,1.9621330499649048
stage1.1.conv1,45,-0.0019360017031431198,1.9835803508758545
stage1.1.conv1,46,-0.011723131872713566,1.995598554611206
stage1.1.conv1,47,-0.007789399940520525,2.0366556644439697
stage1.1.conv1,48,-0.01114729419350624,2.0498950481414795
stage1.1.conv1,49,0.008782496675848961,2.0002996921539307
stage1.1.conv1,50,-0.00048797522322274745,2.028499126434326
stage1.1.conv1,51,-0.008004456758499146,1.9950884580612183
stage1.1.conv1,52,-0.012882580049335957,2.0029618740081787
stage1.1.conv1,53,-0.0058912187814712524,1.9565104246139526
stage1.1.conv1,54,-0.00044688666821457446,1.987316608428955
stage1.1.conv1,55,-0.00880138948559761,1.9872432947158813
stage1.1.conv1,56,-0.013145391829311848,1.9693113565444946
stage1.1.conv1,57,-0.011300748214125633,1.9214191436767578
stage1.1.conv1,58,0.013269636780023575,2.0194592475891113
stage1.1.conv1,59,-0.013249211013317108,1.9996836185455322
stage1.1.conv1,60,-0.0070289308205246925,2.0268125534057617
stage1.1.conv1,61,-0.013224255293607712,2.00445818901062
stage1.1.conv1,62,-0.01224488951265812,1.9165304899215698
